Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxon,Taxon rank,Revised scientific name,Division,Growth Form,Division,Growth form,In GBIF,In SA,Comments,Scientific Name and Authority
,,,,,Craticula,buderi,Craticula buderi,Species,,,,,,Yes,No,,
,,,,,Craticula,halophila,Craticula halophila,Species,,,,,,Yes,No,,
,,,,,Craticula,molestiformis,Craticula molestiformis,Species,,,,,,Yes,No,,
,,,,,Craticula,vixnegligenda,Craticula vixnegligenda,Species,,,,,,Yes,No,,
,,,,,Crucigenia,,Crucigenia ,Genus,,,,,,Yes,No,,
,,,,,Cryptomonas ,,Cryptomonas  ,Genus,,,,,,Yes,Yes,,
,,,,,Ctenophora,pulchella,Ctenophora pulchella,Species,,,,,,Yes,No,,
,,,,,Cyclostephanos,dubius,Cyclostephanos dubius,Species,,,,,,Yes,No,,
,,,,,Cyclotella,,Cyclotella,Genus,,,,,,Yes,Yes,,
,,,,,Cyclotella,meneghiniana,Cyclotella meneghiniana,Species,,,,,,Yes,Unknown,No coordinates in GBIF,
,,,,,Cyclotella,ocellata,Cyclotella ocellata,Species,,,,,,Yes,No,,
,,,,,Cylindrocapsa,,Cylindrocapsa ,Genus,,,,,,Yes,No,,
,,,,,Cylindrocystis,,Cylindrocystis ,Genus,,,,,,Yes,No,,
,,,,,Cylindrospermum,,Cylindrospermum ,Genus,,,,,,Yes,No,,
,,,,,Cymatopleura,,Cymatopleura ,Genus,,,,,,Yes,No,,
,,,,,Cymatopleura,solea,Cymatopleura solea,Species,,,,,,Yes,Unknown,No coordinates in GBIF,
,,,,,Cymbella,,Cymbella,Genus,,,,,,Yes,No,,
,,,,,Cymbella,aspera,Cymbella aspera,Species,,,,,,Yes,No,,
,,,,,Cymbella ,cymbiformis,Cymbella cymbiformis,Species,,,,,,Yes,Unknown,No coordinates in GBIF,
,,,,,Cymbella                     ,kolbei,Cymbella kolbei,Species,,,,,,Yes,Unknown,No coordinates in GBIF,
,,,,,Cymbella,neocistula,Cymbella neocistula,Species,,,,,,Yes,No,,
,,,,,Cymbella,subleptoceros,Cymbella subleptoceros,Species,,,,,,Yes,No,,
,,,,,Cymbella,tumida,Cymbella tumida,Species,,,,,,Yes,No,,
,,,,,Cymbella,turgidula,Cymbella turgidula,Species,,,,,,Yes,Unknown,No coordinates in GBIF,
,,,,,Cymbopleura,naviculiformis,Cymbopleura naviculiformis,Species,,,,,,Yes,No,,
,,,,,Denticula,subtilis,Denticula subtilis,Species,,,,,,Yes,No,,
,,,,,Denticula                                      ,sundaysensis,Denticula sundaysensis,Species,,,,,,Yes,No,,
,,,,,Desmococcus ,,Desmococcus,Genus,,,,,,Yes,No,,
,,,,,Diadesmis,confervacea,Diadesmis confervacea,Species,,,,,,Yes,No,,
,,,,,Diadesmis,contenta,Diadesmis contenta,Species,,,,,,Yes,No,,
,,,,,Diatoma,,Diatoma ,Genus,,,,,,Yes,No,,
,,,,,Diatoma,vulgaris,Diatoma vulgaris,Species,,,,,,Yes,No,,
,,,,,Dichothrix,  ,Dichothrix   ,Genus,,,,,,Yes,Unknown,No coordinates in GBIF,
,,,,,Dicranochaete,,Dicranochaete ,Genus,,,,,,Yes,Yes,,
,,,,,Dinobryon,,Dinobryon,Genus,,,,,,Yes,No,,
,,,,,Diploneis,,Diploneis ,Genus,,,,,,Yes,Unknown,No coordinates in GBIF,
,,,,,Diploneis,elliptica,Diploneis elliptica,Species,,,,,,Yes,No,,
,,,,,Diploneis,oblongella,Diploneis oblongella,Species,,,,,,Yes,No,,
,,,,,Diploneis,subovalis,Diploneis subovalis,Species,,,,,,Yes,No,,
,,,,,Discostella,pseudostelligera,Discostella pseudostelligera,Species,,,,,,Yes,No,,
Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Stephanodiscaceae,Discostella,  ,Discostella,Genus,,,,,,No,,,
,,,,,Discostella,stelligera,Discostella stelligera,Species,,,,,,Yes,No,,
,,,,,Elakatothrix ,,Elakatothrix  ,Genus,,,,,,Yes,No,,
,,,,,Encyonema,,Encyonema,Genus,,Bacillariophyta - diatoms,Unicellular,,,Yes,No,,
,,,,,Encyonema,mesianum,Encyonema mesianum,Species,,Bacillariophyta - diatoms,Unicellular,,,Yes,No,,
,,,,,Encyonema,minutum,Encyonema minutum,Species,,Bacillariophyta - diatoms,Unicellular,,,Yes,Unknown,No coordinates in GBIF,
,,,,,Encyonema,neogracile,Encyonema neogracile,Species,,Bacillariophyta - diatoms,Unicellular,,,Yes,No,,
,,,,,Encyonema,silesiacum,Encyonema silesiacum,Species,,Bacillariophyta - diatoms,Unicellular,,,Yes,No,,
,,,,,Encyonema,ventricosum,Encyonema ventricosum,Species,,Bacillariophyta - diatoms,Unicellular,,,Yes,No,,
