Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxon,Scientific name and authority,Common name,Habitat,Origin,Endemism,Conservation status,Subspecies,Subspecies,Former scientific name 1,Former scientific name 2,Former scientific name 3,Former scientific name 4,Former scientific name 5 ,Former scientific name ,Former scientific name ,Former scientific name ,Former scientific name ,Former scientific name ,Former scientific name ,Former scientific name ,Former scientific name ,Former scientific name ,Former scientific name ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,Pseudocrenilabrus,philander,Pseudocrenilabrus philander,"Pseudocrenilabrus philander (Weber, 1897)",Southern mouthbrooder,Freshwater,Native,Widespread,Not evaluated,,,Chromis philander,Haplochromis philander,Haplochromis philander dispersus,Haplochromis philander luebberti,Haplochromis philander philander,Hemihaplochromis philander,Hemihaplochromis philander dispersus,Paratilapia luebberti,Pseudocrenilabrus natalensis,Pseudocrenilabrus philander dispersus,Pseudocrenilabrus philander luebberti,Pseudocrenilabrus philander philander,Tilapia ellenbergeri,Tilapia ovalis,Tilapia philander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Gilchristella,aestuaria,Gilchristella aestuaria,"Gilchristella aestuaria (Gilchrist, 1913)",Estuarine round herring,Euryhaline,Native,Widespread,Least concern,,,Spratelloides aestuarius,Stolephorus aestuarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Limnothrissa,miodon,Limnothrissa miodon,"Limnothrissa miodon (Boulenger, 1906)",Kapenta ,Euryhaline,Non-native,Widespread,Least concern,,,Limnothrissa stappersii,Microthrissa stappersii,Pellonula miodon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,auratus,Carassius auratus,"Carassius auratus (Linnaeus, 1758)",Goldfish ,Freshwater,Native,Widespread,Least concern,Carassius auratus argenteaphthalmus,Carassius auratus auratus,Carassius auratus cantonensis,Carassius auratus buergeri,Carassius auratus burgeri,Carassius auratus grandoculis,Carassius auratus wui,Carasius auratus,Carassius burgeri,Carassius carassius auratus,Carassius chinensis,Carassius coeruleus,Carassius discolor,Carassius encobia,Carassius grandoculis,Carassius pekinensis,Cyprinus auratus,Cyprinus chinensis,Cyprinus gibelioides,Cyprinus langsdorfii,Cyprinus maillardi,Cyprinus mauritianus ,Cyprinus thoracatus,Leuciscus auratus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Clypeobarbus,bellcrossi,Clypeobarbus bellcrossi,"Clypeobarbus bellcrossi (Conway and Stiassny, 2008)",Gorgeous barb,Freshwater,Non-native,Widespread,Data deficient,,,Barbus bellcrossi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Coptostomabarbus,wittei,Coptostomabarbus wittei,"Coptostomabarbus wittei David & Poll, 1937",Upjaw barb,Freshwater,Non-native,Widespread,Least concern,,,Coptostomobarbus wittei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Ctenopharyngodon,idella,Ctenopharyngodon idella,"Ctenopharyngodon idella (Valenciennes, 1844)",Grass carp ,Freshwater,Non-native,Widespread,Not evaluated,,,Ctenopharingodon idellus,Ctenopharygodon idella,Ctenopharyngodon idellos,Ctenopharyngodon laticeps,Leuciscus idellus,Leuciscus tschiliensis,Pristiodon siemionovii,Sarcocheilichthys teretiusculus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,carpio,Cyprinus carpio,"Cyprinus carpio Linnaeus, 1758",Common carp,Freshwater,Non-native,Widespread,Vulnerable,Carpio carpio gibbosus,Cyprinus carpio anatolicus,Cyprinus carpio aralensis,Cyprinus carpio brevicirri,Cyprinus carpio carpio,Cyprinus carpio caspicus,Cyprinus carpio communis,Cyprinus carpio communis,Cyprinus carpio elongatus,Cyprinus carpio fluviatilis,Cyprinus carpio haematopterus,Cyprinus carpio lacustris,Cyprinus carpio longicirri,Cyprinus carpio monstrosus,Cyprinus carpio oblongus,Cyprinus carpio specularis,Cyprinus carpio gibbosus,Cyprinus carpio haematopterus,Carpio vulgaris,Cyprinus acuminatus,Cyprinus alepidotus,Cyprinus angulatus ,Cyprinus atrovirens,Cyprinus bithynicus,Cyprinus chinensis,Cyprinus cirrosus,Cyprinus conirostris ,Cyprinus coriaceus ,Cyprinus elatus,Cyprinus festetitsii,Cyprinus hungaricus,Cyprinus macrolepidotus,Cyprinus macrolepidotus,Cyprinus mahuensis,Cyprinus melanotus,Cyprinus nordmannii,Cyprinus nudus,Cyprinus regina,Cyprinus regius,Cyprinus rex,Cyprinus rexcyprinorum,Cyprinus rondeletii,Cyprinus specularis,Cyprinus thermalis ,Cyprinus tossicole,Cyprinus viridescens,Cyprinus vittatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Engraulicypris,brevianalis,Engraulicypris brevianalis,"Engraulicypris brevianalis (Boulenger, 1908)",Hyphen barb,Freshwater,Native,Widespread,Least concern,,,Engraulicypris whitei,Mesobola brevianalis,Neobola brevianalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,afrohamiltoni,Enteromius afrohamiltoni,"Enteromius afrohamiltoni (Crass, 1960)",Hamilton's barb,Freshwater,Native,Widespread,Least concern,,,Barbus afrohamiltoni,Barbus hamiltoni ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
