eventID,occurrenceID,institutionCode,collectionCode,catalogNumber,fieldNumber,previousIdentifications,higherClassification,identificationQualifier,basisOfRecord,sex,lifeStage,recordedBy,higherGeography,continent,country,stateProvince,locality,locationID,waterBody,islandGroup,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,geodeticDatum,georeferenceSources,year,month,day,associatedMedia,occurrenceRemarks,organismQuantity,identifiedBy,accessRights,modified,occurrenceStatus,samplingProtocol,individualCount,associatedReferences,datasetName,taxonID,scientificName,vernacularName,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,scientificNameAuthorship,dynamicProperties,taxonRank
OdonataMAP-21,URN:catalog:adu.org.za:odonata:21,ADU-UCT,OdonataMAP-VM,1285169551,,,Animalia|Arthopoda|Insecta|Odonata|Libellulidae,,PhotographicRecord,,,"Diedericks G","|South Africa|KwaZulu-Natal",,"South Africa",KwaZulu-Natal,"farm Lot K57 4516; SiyaQhubeka's Kwambonambi commercial tree plantation",VM-Gazetteer-ID:113,,,50,70,0,0,-28.617778,31.193889,0,WGS84,GPS,2009,12,15,,,,"VM ID-panel",0,"2020-03-31 18:21:52",,,,,OdonataMAP,667770,"Orthetrum sp.",,Animalia,Arthopoda,Insecta,Odonata,Libellulidae,Orthetrum,,,"Newman, 1833",,genus
OdonataMAP-22,URN:catalog:adu.org.za:odonata:22,ADU-UCT,OdonataMAP-VM,1285169551,,,Animalia|Arthopoda|Insecta|Odonata|Libellulidae,,PhotographicRecord,,,"Diedericks G","|South Africa|KwaZulu-Natal",,"South Africa",KwaZulu-Natal,"farm Lot K57 4516; SiyaQhubeka's Kwambonambi commercial tree plantation",VM-Gazetteer-ID:113,,,50,70,0,0,-28.617778,31.193889,0,WGS84,GPS,2009,12,15,,,,"VM ID-panel",0,"2020-03-31 18:21:52",,,,,OdonataMAP,668230,"Pantala flavescens","Wandering Glider",Animalia,Arthopoda,Insecta,Odonata,Libellulidae,Pantala,flavescens,,"(Fabricius, 1798)",LC,species
OdonataMAP-23,URN:catalog:adu.org.za:odonata:23,ADU-UCT,OdonataMAP-VM,1285169551,,,Animalia|Arthopoda|Insecta|Odonata|Libellulidae,,PhotographicRecord,,,"Diedericks G","|South Africa|KwaZulu-Natal",,"South Africa",KwaZulu-Natal,"farm Lot K57 4516; SiyaQhubeka's Kwambonambi commercial tree plantation",VM-Gazetteer-ID:113,,,50,70,0,0,-28.617778,31.193889,0,WGS84,GPS,2009,12,15,,,,"VM ID-panel",0,"2020-03-31 18:21:52",,,,,OdonataMAP,668620,"Tramea basilaris","Keyhole Glider",Animalia,Arthopoda,Insecta,Odonata,Libellulidae,Tramea,basilaris,,"(Palisot de Beauvois, 1817)",LC,species
OdonataMAP-24,URN:catalog:adu.org.za:odonata:24,ADU-UCT,OdonataMAP-VM,1285169551,,,Animalia|Arthopoda|Insecta|Odonata|Libellulidae,,PhotographicRecord,,,"Diedericks G","|South Africa|KwaZulu-Natal",,"South Africa",KwaZulu-Natal,"farm Lot K57 4516; SiyaQhubeka's Kwambonambi commercial tree plantation",VM-Gazetteer-ID:113,,,50,70,0,0,-28.617778,31.193889,0,WGS84,GPS,2009,12,15,,,,"VM ID-panel",0,"2020-03-31 18:21:52",,,,,OdonataMAP,668630,"Tramea limbata","Ferruginous Glider",Animalia,Arthopoda,Insecta,Odonata,Libellulidae,Tramea,limbata,,"(Desjardins, 1832)",LC,species
OdonataMAP-25,URN:catalog:adu.org.za:odonata:25,ADU-UCT,OdonataMAP-VM,1285169551,,,Animalia|Arthopoda|Insecta|Odonata|Libellulidae,,PhotographicRecord,,,"Diedericks G","|South Africa|KwaZulu-Natal",,"South Africa",KwaZulu-Natal,"farm Lot K57 4516; SiyaQhubeka's Kwambonambi commercial tree plantation",VM-Gazetteer-ID:113,,,50,70,0,0,-28.617778,31.193889,0,WGS84,GPS,2009,12,15,,,,"VM ID-panel",0,"2020-03-31 18:21:52",,,,,OdonataMAP,668660,"Trithemis annulata","Violet Dropwing",Animalia,Arthopoda,Insecta,Odonata,Libellulidae,Trithemis,annulata,,"(Palisot de Beauvois, 1807)",LC,species
OdonataMAP-26,URN:catalog:adu.org.za:odonata:26,ADU-UCT,OdonataMAP-VM,1285170337,,,Animalia|Arthopoda|Insecta|Odonata|Libellulidae,,PhotographicRecord,,,"Diedericks G","|South Africa|KwaZulu-Natal",,"South Africa",KwaZulu-Natal,"farm Lot K57 4516; SiyaQhubeka's Kwambonambi commercial tree plantation",VM-Gazetteer-ID:117,,,54,61,0,0,-28.613611,32.197778,0,WGS84,GPS,2009,12,16,,,,"VM ID-panel",0,"2020-03-31 18:21:52",,,,,OdonataMAP,667690,"Nesciothemis farinosa","Eastern Blacktail",Animalia,Arthopoda,Insecta,Odonata,Libellulidae,Nesciothemis,farinosa,,"(Förster, 1898)",LC,species
OdonataMAP-28,URN:catalog:adu.org.za:odonata:28,ADU-UCT,OdonataMAP-VM,1285170547,,,Animalia|Arthopoda|Insecta|Odonata|Libellulidae,,PhotographicRecord,,,"Diedericks G","|South Africa|Mpumalanga",,"South Africa",Mpumalanga,"farm Zwartfontein 227; Komatiland Forests Witklip commercial tree plantation",VM-Gazetteer-ID:86,,,940,960,0,0,-25.199972,30.976444,0,WGS84,GPS,2009,11,10,,,,"VM ID-panel",0,"2020-03-31 18:21:52",,,,,OdonataMAP,669420,"Zygonyx torridus","Ringed Cascader",Animalia,Arthopoda,Insecta,Odonata,Libellulidae,Zygonyx,torridus,,"(Kirby, 1889)",LC,species
OdonataMAP-29,URN:catalog:adu.org.za:odonata:29,ADU-UCT,OdonataMAP-VM,1285170547,,,Animalia|Arthopoda|Insecta|Odonata|Libellulidae,,PhotographicRecord,,,"Diedericks G","|South Africa|Mpumalanga",,"South Africa",Mpumalanga,"farm Zwartfontein 227; Komatiland Forests Witklip commercial tree plantation",VM-Gazetteer-ID:86,,,940,960,0,0,-25.199972,30.976444,0,WGS84,GPS,2009,12,4,,,,"VM ID-panel",0,"2020-03-31 18:21:52",,,,,OdonataMAP,667930,"Orthetrum hintzi","Dark-shouldered Skimmer",Animalia,Arthopoda,Insecta,Odonata,Libellulidae,Orthetrum,hintzi,,"Schmidt, 1951",LC,species
OdonataMAP-30,URN:catalog:adu.org.za:odonata:30,ADU-UCT,OdonataMAP-VM,1285171155,,,Animalia|Arthopoda|Insecta|Odonata|Coenagrionidae,,PhotographicRecord,,,"Diedericks G","|South Africa|KwaZulu-Natal",,"South Africa",KwaZulu-Natal,"farm Lot K54 6723; SiyaQhubeka's Kwambonambi commercial tree plantation",VM-Gazetteer-ID:120,,,61,65,0,0,-28.622111,32.201611,0,WGS84,GPS,2009,12,17,,,,"VM ID-panel",0,"2020-03-31 18:21:52",,,,,OdonataMAP,662720,"Ceriagrion glabrum","Common Citril",Animalia,Arthopoda,Insecta,Odonata,Coenagrionidae,Ceriagrion,glabrum,,"(Burmeister, 1839)",LC,species
OdonataMAP-31,URN:catalog:adu.org.za:odonata:31,ADU-UCT,OdonataMAP-VM,1285171155,,,Animalia|Arthopoda|Insecta|Odonata|Libellulidae,,PhotographicRecord,,,"Diedericks G","|South Africa|KwaZulu-Natal",,"South Africa",KwaZulu-Natal,"farm Lot K54 6723; SiyaQhubeka's Kwambonambi commercial tree plantation",VM-Gazetteer-ID:120,,,61,65,0,0,-28.622111,32.201611,0,WGS84,GPS,2009,12,17,,,,"VM ID-panel",0,"2020-03-31 18:21:52",,,,,OdonataMAP,667380,"Hemistigma albipunctum","African Piedspot",Animalia,Arthopoda,Insecta,Odonata,Libellulidae,Hemistigma,albipunctum,,"(Rambur, 1842)",LC,species
