Taxon rank,Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxon,Scientific name and authority,Common name,Origin,Endemism,Conservation status,Eco-tolerance,Former scientific name 
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,carpio,Cyprinus carpio,"Cyprinus carpio Linnaeus, 1758",Common carp,Non-native,Widespread,Vulnerable,1,Carpio vulgaris;Cyprinus acuminatus;Cyprinus alepidotus;Cyprinus angulatus;Cyprinus atrovirens;Cyprinus bithynicus;Cyprinus chinensis;Cyprinus cirrosus;Cyprinus conirostris;Cyprinus coriaceus;Cyprinus elatus;Cyprinus festetitsii;Cyprinus hungaricus;Cyprinus macrolepidotus;Cyprinus macrolepidotus;Cyprinus mahuensis;Cyprinus melanotus;Cyprinus nordmannii;Cyprinus nudus;Cyprinus regina;Cyprinus regius;Cyprinus rex;Cyprinus rexcyprinorum;Cyprinus rondeletii;Cyprinus specularis;Cyprinus thermalis;Cyprinus tossicole;Cyprinus viridescens;Cyprinus vittatus
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Engraulicypris ,gariepinus,Engraulicypris  gariepinus,"Engraulicypris gariepinus Barnard, 1943",,Native,Regional endemic level 2,Least concern,1,
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Engraulicypris,brevianalis,Engraulicypris brevianalis,"Engraulicypris brevianalis (Boulenger, 1908)",Hyphen barb,Native,Widespread,Least concern,1,Engraulicypris whitei;Mesobola brevianalis;Neobola brevianalis
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,afrohamiltoni,Enteromius afrohamiltoni,"Enteromius afrohamiltoni (Crass, 1960)",Hamilton's barb,Native,Widespread,Least concern,1,Barbus afrohamiltoni;Barbus hamiltoni 
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,amatolicus,Enteromius amatolicus,"Enteromius amatolicus (Skelton, 1990)",Amatola barb,Native,Widespread,Data deficient,1,Barbus amatolicus
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,annectens,Enteromius annectens,"Enteromius annectens (Gilchrist & Thompson, 1917)",Broadstriped barb,Native,Widespread,Least concern,1,Barbus annectens
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,anoplus,Enteromius anoplus,"Enteromius anoplus  (Weber, 1897)",Chubbyhead barb,Native,Widespread,Least concern,1,Barbus anoplus;Barbus anoplus anoplus;Barbus anoplus cernuus;Barbus anoplus oraniensis;Barbus anoplus typica;Barbus cernuus;Barbus karkensis
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,argenteus,Enteromius argenteus,"Enteromius argenteus (Günther, 1868)",Rosefin barb,Non-native,Widespread,Least concern,1,Barbus argenteus;Barbus crocodilensis;Puntius argenteus
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,bifrenatus,Enteromius bifrenatus,"Enteromius bifrenatus (Fowler, 1935)",Hyphen barb,Native,Widespread,Least concern,1,Barbus bifrenatus
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,breviceps,Enteromius breviceps,"Enteromius breviceps (Trewavas, 1936)",Shorthead barb,Non-native,Widespread,Least concern,1,Barbus breviceps
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,brevipinnis,Enteromius brevipinnis,"Enteromius brevipinnis (Jubb, 1966)",Shortfin barb,Native,Widespread,Near threatened,1,Barbus brevipennis;Barbus brevipinnis
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,eutaenia,Enteromius eutaenia,"Enteromius eutaenia (Boulenger, 1904)",Orangefin barb,Native,Widespread,Least concern,1,Barbus entaenia;Barbus eutaenia
