RHP Site Code,Latitude,Longitude,,
B4DORP-WEMM1,-25.22361,30.34056,,
B4DWAR-DWARS,-24.96141,30.08844,,
B4DWAR-R555D,-24.84187,30.08653,,
B4DWAR-R555U,-24.84412,30.09175,,
B4EAST-CONFL,-25.12117,30.16227,,
B4EAST-DEKDS,-25.14717,30.16925,,
B4EAST-DEKUS,-25.15933,30.17298,,
B4KDWA-DWAR2,-24.93488,30.10008,,
B4KDWA-DWAR4,-24.92597,30.10166,,
B4KDWA-RICHM,-24.98569,30.0813,,
B4KLIP-R555B,-24.96242,29.95533,,
B4KLIP-UPPER,-24.97822,29.96775,,
B4LAKE-LANGK,-25.62647,30.00056,,
B4MASE-EAGLE,-25.01708,29.87332,,
B4MASE-OLIFA,-25.01037,29.85828,,
B4MOOP-MOOPE,-24.62933,30.19225,,
B4SPEK-BURGE,-24.66037,30.33702,,
B4SPEK-DEBAD,-24.83877,30.389,,
B4SPEK-FINSB,-25.0336,30.54815,,
B4SPEK-LEIDE,-25.009,30.5,,
B4STEE-AAPIE,-24.92247,29.97128,,
B4STEE-BRIDGE,-24.71795,30.20325,,
B4STEE-BUFFE,-25.0331,29.85153,,
B4STEE-BURGE,-24.65889,30.3025,,
B4STEE-DEHOO,-24.95,29.966,,
B4STEE-EERST,-24.749,30.161,,
B4STEE-FRAAI,-24.68,30.263,,
B4STEE-ONVER,-25.17698,29.84638,,
B4STEE-PRETO,-24.495,30.4,,
B4STEE-STEEL,-24.893,30.017,,
B4STEE-STOFF,-25.38194,29.83833,,
B4STEE-TIGER,-25.10112,29.84728,,
B4STEE-WAPAD,-25.57975,29.87573,,
B4STER-LYDEN,-25.1583,30.5461,,
B4STRI-LYDEN,-25.17694,30.54028,,
B4UNSP-PAAR2,-25.08392,30.57498,,
B4UNSP-PAARD,-25.09297,30.56606,,
B4UNSP-UNSPL,-25.013,30.30638,,
B4WATE-HADED,-24.89133,30.31068,,
B4WATE-TWEEF,-24.97008,30.2178,,
B4WTRI-BEETG,-25.03833,30.29413,,
B5OLIF-ADRIA,-24.527,29.546,,
B5OLIF-B5H002,-24.26667,29.80083,,
B5OLIF-DIAMA,-24.283,29.76,,
B5OLIF-MOGAL,-24.73472,29.42556,,
B5OLIF-ROODE,-24.775,29.423,,
B5OLIF-VANDE,-24.674,29.461,,
B5OLIF-VEEPL,-24.498,29.57,,
B6BELV-BELVE,-24.654,30.837,,
B6BLYD-BLYDE,-24.40517,30.79912,,
B6BLYD-ESSEX,-24.325,30.832,,
B6BLYD-GROOT,-24.93298,30.74823,,
B6BLYD-MORIA,-24.409,30.827,,
B6BLYD-PILGR,-24.87775,30.76038,,
B6BLYD-PILRE,-24.89694,30.75056,,
B6BLYD-PONIE,-24.911,30.735,,
B6BLYD-VAALH,-24.73478,30.77825,,
B6GROO-GROOT,-24.95433,30.76328,,
B6HEDD-R532B,-24.86173,30.84745,,
B6HEDD-R534B,-24.85367,30.89008,,
B6KGWE-KASPE,-24.73903,30.71078,,
B6LISB-BRIDG,-24.83,30.79,,
B6OHRI-BLYDE,-24.538,30.766,,
B6OHRI-KRANS,-24.891,30.598,,
B6OHRI-OHRIG,-24.954,30.631,,
B6TREU-CLEAR,-24.75367,30.87215,,
B6TREU-R532B,-24.709,30.818,,
B7GASE-ERMEL,-23.9915,30.68333,,
B7GASE-FOSKO,-23.97667,31.07361,,
B7GASE-MIDDL,-24.161,30.254,,
B7GASE-OCONF,-24.037,31.134,,
B7GASE-RANCH,-23.9726,30.7196,,
B7GASE-SCHEL,-24.13923,30.32013,,
B7KLAS-EDEN,-24.579,30.941,,
B7KLAS-GUERN,-24.497,31.088,,
B7MAKH-LEKGA,-24.191,30.349,,
B7MOHL-BADEN,-24.096,30.101,,
B7MOHL-GEMIN,-24.168,30.106,,
B7MOHL-MAFEF,-24.191,30.096,,
B7MOHL-VALLI,-24.126,30.114,,
B7MOHL-WATER,-24.062,30.031,,
B7MOHL-WOLKB,-24.103,30.119,,
B7MOTL-GELDE,-24.59722,30.94136,,
B7MOTL-MAGAL,-24.59288,30.92322,,
B7OLIF-BALDS,-24.035,31.738,,
B7OLIF-BALUL,-24.0527,31.73002,,
B7OLIF-BAZAI,-24.30918,30.77744,,
B7OLIF-FOCHA,-24.424,30.555,,
B7OLIF-GRIET,-24.126,31.017,,
B7OLIF-HOEDS,-24.1842,30.8358,,
B7OLIF-MAMBA,-24.044,31.221,,
B7OLIF-OXFOR,-24.222,30.818,,
B7OLIF-PENGE,-24.353,30.306,,
B7OLIF-PHOSA,-24.2571,30.8273,,
B7OLIF-PLAAT,-24.221,29.878,,
B7OLIF-R36BR,-24.38013,30.66665,,
B7OLIF-STELL,-24.238,30.082,,
