Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxon,Scientific name and authority,Former scientific name,Common name,Habitat,Origin,Endemism,Conservation status
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,gurneyi,Enteromius gurneyi,"Enteromius gurneyi (Günther, 1868)",Barbus gurneyi ,Redtail barb,Freshwater,Native,Widespread,Vulnerable
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,haasianus,Enteromius haasianus,"Enteromius haasianus (David, 1936)",Barbus haasianu,Sicklefin barb,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,hospes,Enteromius hospes,"Enteromius hospes (Barnard, 1938)",Barbus hospes ,Namaqua barb,Freshwater,Native,Regional endemic level 1,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,kerstenii,Enteromius kerstenii,"Enteromius kerstenii (Peters, 1868)",Barbus kerstenii ,Redspot barb,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,lineomaculatus,Enteromius lineomaculatus,"Enteromius lineomaculatus (Boulenger, 1903)",Barbus lineomaculatus,Line-spotted barb,Freshwater,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,macrotaenia,Enteromius macrotaenia,"Enteromius macrotaenia (Worthington, 1933)",Barbus macrotaenia ,Broadband barb,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,manicensis,Enteromius manicensis,"Enteromius manicensis (Pellegrin, 1919)",Barbus manicensis ,Yellow barb,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,mattozi,Enteromius mattozi,"Enteromius mattozi (Guimaraes, 1884)",Barbus mattozi ,Papermouth,Freshwater,Alien,Regional endemic level 1,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,miolepis,Enteromius miolepis,"Enteromius miolepis (Boulenger, 1902)",Barbus miolepis ,Zig-zag barb,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,motebensis,Enteromius motebensis,"Enteromius motebensis (Steindachner, 1894)",Barbus motebensis,Marico barb,Freshwater,Native,Widespread,Near threatened
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,multilineatus,Enteromius multilineatus,"Enteromius multilineatus (Worthington, 1933)",Barbus multilineatus,Copperstripe barb,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,neefi,Enteromius neefi,"Enteromius neefi (Greenwood, 1962)",Barbus neefi ,Sidespot barb,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,pallidus,Enteromius pallidus,"Enteromius pallidus (Smith, 1841)",Barbus pallidus,Goldie barb,Freshwater,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,paludinosu,Enteromius paludinosu,"Enteromius paludinosus (Peters, 1852)",Barbus paludinosus ,Straightfin barb,Freshwater,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,poechii,Enteromius poechii,"Enteromius poechii (Steindachner, 1911)",Barbus poechii ,Dashtail barb,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,radiatus,Enteromius radiatus,"Enteromius radiatus (Peters, 1853)",Barbus radiatus ,Beira barb,Freshwater,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,thamalakanensis,Enteromius thamalakanensis,"Enteromius thamalakanensis (Fowler, 1935)",Barbus thamalakanensis ,Thamalakane barb,Freshwater,Alien,Widespread,Least concern
